NO.,FRENCH VERSION,ENGLISH VERSION
276,Je ne connais qu'une liberté et c'est la liberté de l'esprit. -Antoine de Saint-Exupéry,I know but one freedom and that is the freedom of the mind. -Antoine de Saint-Exupery
277,"Je ne m'inquiète jamais de l'action, mais seulement de l'inaction. Winston Churchill","I never worry about action, but only about inaction. Winston Churchill"
278,"Je ne pense pas à toute la misère, mais à la beauté qui reste encore. -Anne Frank","I don’t think of all the misery, but of the beauty that still remains. -Anne Frank"
279,"Je ne peux rien apprendre à personne, je ne peux que le faire réfléchir. Socrate","I cannot teach anybody anything, I can only make them think. Socrates"
280,Je ne reculerai pas dans la vie. J. R. R. Tolkien,I will not walk backward in life. J. R. R. Tolkien
281,Je ne rêve jamais de succès. J'ai travaillé pour ça. Estee Lauder,I never dream of success. I worked for it. Estee Lauder
282,Je ne suis pas assez jeune pour tout connaître. -Oscar Wilde,I am not young enough to know everything. -Oscar Wilde
283,"Je ne suis pas ce qui m'est arrivé, je suis ce que j'ai choisi de devenir. Carl-Gustav Jung","I am not what happened to me, I am what I choose to become. Carl Gustav Jung"
284,"Je ne suis pas le corps périssable, mais le Soi éternel. -Ramana Maharshi","I am not the perishable body, but the eternal Self. -Ramana Maharshi"
285,"Je ne suis peut-être pas meilleur, mais au moins je suis différent. -Jean-Jacques Rousseau","I may be no better, but at least I am different. -Jean-Jacques Rousseau"
286,Je ne veux pas mourir sans cicatrices. Chuck Palahniuk,I don’t want to die without any scars. Chuck Palahniuk
287,Je pense donc je suis.,I think therefore I am.
288,Je préfère mourir de passion que d'ennui. Vincent Van Gogh,I would rather die of passion than of boredom. Vincent van Gogh
289,Je préfère mourir debout que vivre à genoux. -Euripide,I would rather die on my feet than live on my knees. -Euripides
290,"Je rêve. Parfois, je pense que c'est la seule bonne chose à faire. -Haruki Murakami",I dream. Sometimes I think that’s the only right thing to do. -Haruki Murakami
291,Je reviendrai.,I'll be back.
292,Je sens que la monotonie et la mort sont presque la même chose. Charlotte Brontë,I feel monotony and death to be almost the same. Charlotte Bronte
293,Je suis fort parce que j'ai été faible.,I’m strong because I’ve been weak.
294,Je suis sage parce que j'ai été stupide.,I’m wise because I’ve been foolish.
295,"Je suis un marcheur lent, mais je ne reviens jamais. Abraham Lincoln","I’m a slow walker, but I never walk back. Abraham Lincoln"
296,"Je te regarde, gamin.","Here's looking at you, kid."
297,"Je trouve que plus je travaille dur, plus je semble avoir de chance. Thomas Jefferson","I find that the harder I work, the more luck I seem to have. Thomas Jefferson "
298,Je vais lui faire une offre qu'il ne pourra pas refuser.,I'm gonna make him an offer he can't refuse.
299,"Je veux être le meilleur, donc quoi qu'il arrive, je devrai l'accepter. Sidney Crosby","I want to be the best, so whatever comes with that, I’ll have to accept. Sidney Crosby"
300,Jugez un homme par ses questions plutôt que par ses réponses. Voltaire,Judge a man by his questions rather than by his answers. Voltaire
301,Jugez votre succès par ce que vous avez dû abandonner pour l'obtenir. Dalaï Lama,Judge your success by what you had to give up in order to get it. Dalai Lama
302,Juste et doucement va loin. -Miguel de Cervantès.,Fair and softly goes far. -Miguel de Cervantes.
303,L’éducation est la capacité à faire face aux situations de la vie. Dr John G. Hibben,Education is the ability to meet life’s situations. Dr. John G. Hibben
304,La beauté commence au moment où vous décidez d'être vous-même. -Coco Chanel,Beauty begins the moment you decide to be yourself. -Coco Chanel
305,La beauté commence au moment où vous décidez d'être vous-même.- Coco Chanel,Beauty begins the moment you decide to be yourself.- Coco Chanel
306,La beauté est la promesse du bonheur. -Stendhal,Beauty is the promise of happiness. -Stendhal
307,La beauté éveille l'âme à agir. -Dante Alighieri,Beauty awakens the soul to act. -Dante Alighieri
308,La beauté n'est pas dans le visage ; la beauté est une lumière dans le cœur.- Khalil Gibran,Beauty is not in the face; beauty is a light in the heart.- Khalil Gibran
309,"La beauté promet toujours, mais ne donne jamais rien. -Simone Weil","Beauty always promises, but never gives anything. -Simone Weil"
310,La bonté est le seul investissement qui ne manque jamais. Henry David Thoreau,Goodness is the only investment that never fails. Henry David Thoreau
311,La circulation de la confiance vaut mieux que la circulation de l'argent. James Madison,The circulation of confidence is better than the circulation of money. James Madison
312,La clé du bonheur est de faire quelque chose que vous aimez chaque jour. -Victor fierté,The key to happiness is doing something you like every single day. -Victor Pride
313,La concentration provient d'une combinaison de confiance et de faim. Arnold Palmer,Concentration comes out of a combination of confidence and hunger. Arnold Palmer
314,La concision est l'âme de l'esprit. -William Shakespeare,Brevity is the soul of wit. -William Shakespeare
315,La confiance dans la bonté d'autrui est une bonne preuve de sa propre bonté. Michel de,Confidence in the goodness of another is good proof of one’s own goodness. Michel de
316,La confiance est contagieuse. Le manque de confiance aussi. Vince Lombardi,Confidence is contagious. So is lack of confidence. Vince Lombardi
317,La confiance est la plus grande intelligence. Osho,Trust is the greatest intelligence. Osho
318,La confiance est le facteur le plus important dans ce jeu. Jack Nicklaus,Confidence is the most important single factor in this game. Jack Nicklaus
319,La confiance est l'une des choses les plus sexy. Catherine Jenkins,Confidence is one of the sexiest things. Katherine Jenkins
320,La confiance est une tache qu'ils ne peuvent pas effacer. Lil Wayne,Confidence is a stain they can’t wipe off. Lil Wayne
321,La confiance ne peut pas trouver un endroit où se reposer en toute sécurité. Virgile,Confidence cannot find a place wherein to rest in safety. Virgil
322,La confiance vient de la discipline et de la formation. Robert Kiyosaki,Confidence comes from discipline and training. Robert Kiyosaki
323,La connaissance du bonheur amène la connaissance du malheur. -Swami Vivekananda,The knowledge of happiness brings the knowledge of unhappiness. -Swami Vivekananda
324,La connaissance est le pouvoir.,Knowledge is power.
325,"La connaissance vous donnera le pouvoir, mais le respect du caractère. Bruce Lee","Knowledge will give you power, but character respect. Bruce Lee"
326,La conquête de la peur est le commencement de la sagesse. Bertrand Russell,To conquer fear is the beginning of wisdom. Bertrand Russell
327,La consistance est le dernier refuge de l'inimaginable. Oscar Wilde,Consistency is the last refuge of the unimaginative. Oscar Wilde
328,La corbeille à papier est la meilleure amie de l'écrivain. Isaac Bashevis Chanteur,The wastebasket is a writer’s best friend. Isaac Bashevis Singer
329,La créativité – comme la vie humaine elle-même – commence dans l'obscurité. Julia Cameron,Creativity – like human life itself – begins in darkness. Julia Cameron
330,La créativité demande du courage. Henri Matisse,Creativity takes courage. Henri Matisse
331,La créativité demande le courage de lâcher prise sur les certitudes. Erich Fromm,Creativity requires the courage to let go of certainties. Erich Fromm
332,La créativité est la plus grande rébellion qui existe. Osho,Creativity is the greatest rebellion in existence. Osho
333,La créativité vient d'un conflit d'idées. Donatella Versace,Creativity comes from a conflict of ideas. Donatella Versace
334,La croyance crée le fait réel. Guillaume James,Belief creates the actual fact. William James
335,La culpabilité est peut-être la compagne la plus douloureuse de la mort. coco Chanel,Guilt is perhaps the most painful companion of death. Coco Chanel
336,La curiosité est un vilain défaut.,Curiosity killed the cat
337,La curiosité vaincra la peur encore plus que la bravoure. James Stephens,Curiosity will conquer fear even more than bravery will. James Stephens
338,La différence entre gagner et perdre est le plus souvent de ne pas abandonner.- Walt Disney, “The difference between winning and losing is most often not quitting.”- Walt Disney
339,La diligence est la mère de la bonne fortune. Benjamin Disraëli,Diligence is the mother of good fortune. Benjamin Disraeli
340,La douleur est inévitable. La souffrance est facultative. Haruki Murakami,Pain is inevitable. Suffering is optional. Haruki Murakami
341,La douleur que vous ressentez maintenant sera une force après un certain temps.,"The pain you feel now, will be a strength after some time."
342,La faim est le meilleur condiment,Hunger is the best sauce
343,La fin justifie les moyens,The end justifies the means
344,La foi est la cousine tranquille du courage. Judith Hanson Laser,Faith is the quiet cousin of courage. Judith Hanson Lasater
345,La foi est une imagination spiritualisée. Henri Ward Beecher,Faith is spiritualized imagination. Henry Ward Beecher
346,"La foi n'est pas quelque chose à saisir, c'est un état dans lequel grandir. Mahatma Ghandi","Faith is not something to grasp, it is a state to grow into. Mahatma Gandhi"
347,La foi soulève les montagnes,Faith can move mountains
348,La force du groupe est la force des leaders. Vince Lombardi,The strength of the group is the strength of the leaders. Vince Lombardi
349,La fortune et l'amour favorisent les braves. Ovide,Fortune and love favor the brave. Ovid
350,La fortune sourit aux audacieux,Fortune favours (GB) / favors (US) the brave
351,La gentillesse est comme la neige - elle embellit tout ce qu'elle recouvre. - Khalil Gibran,Kindness is like snow – it beautifies everything it covers. -Khalil Gibran
352,La gentillesse est la sagesse. -Philip James Bailey.,Kindness is wisdom. -Philip James Bailey.
353,"La gentillesse, j'ai découvert, est tout dans la vie. -Isaac Bashevis","Kindness, I’ve discovered, is everything in life. -Isaac Bashevis"
354,La grande finesse n'est pas celle qui s'aperçoit.,"The perfection of art, is to conceal art."
355,La gratitude est la plus belle fleur qui jaillisse de l'âme. -Henry Ward Beecher,Gratitude is the fairest blossom which springs from the soul. -Henry Ward Beecher
356,La gratitude est le signe des âmes nobles. -Ésope,Gratitude is the sign of noble souls. -Aesop
357,La gratitude est une richesse. La plainte est la pauvreté. -Doris Day,Gratitude is riches. Complaint is poverty. -Doris Day
358,La gratitude silencieuse n'est pas beaucoup pour personne. -Gertrude Stein,Silent gratitude isn’t very much to anyone. -Gertrude Stein
359,La joie est la forme la plus simple de gratitude. -Karl Barth,Joy is the simplest form of gratitude. -Karl Barth
360,La libération du désir mène à la paix intérieure. -Lao Tsu,Freedom from desire leads to inner peace. -Lao Tsu
361,La liberté réside dans l'audace. -Robert Frost,Freedom lies in being bold. -Robert Frost
362,La logique pure est la ruine de l'esprit. Antoine de Saint-Exupéry,Pure logic is the ruin of the spirit. Antoine de Saint-Exupery
363,La lutte fait partie de l'histoire.,The struggle is part of the story.
364,"La maturité vient avec l'expérience, pas avec l'âge.","Maturity comes with experience, not age."
365,La meilleure façon de payer un beau moment est d'en profiter. -Richard Bach,The best way to pay for a lovely moment is to enjoy it. -Richard Bach
366,La meilleure façon de se retrouver est de se perdre au service des autres. -Mohandas Gandhi,The best way to find yourself is to lose yourself in the service of others. -Mohandas Gandhi
367,La meilleure sortie est toujours à travers. Robert Frost,The best way out is always through. Robert Frost
368,La meilleure vengeance est d'être différent de celui qui a causé la blessure. Marc Aurèle,The best revenge is to be unlike him who performed the injury. Marcus Aurelius
369,La meilleure vengeance est un succès massif. - Frank Sinatra,“The best revenge is massive success.” — Frank Sinatra
370,La meilleure vengeance est un succès massif. Franck Sinatra,The best revenge is massive success. Franck Sinatra
371,La mémoire est l'ancien et elle a peur du nouveau. Osho,"Memory is the old, and it is afraid of the new. Osho"
372,La mesure du succès est le bonheur et la tranquillité d'esprit. Bobby Davro,The measure of success is happiness and peace of mind. Bobby Davro
373,La monotonie et la solitude d'une vie tranquille stimulent l'esprit créatif. Albert Einstein,The monotony and solitude of a quiet life stimulates the creative mind. Albert Einstein
374,"La mort est effrayante, tout comme la vie éternelle. Mason Cooley","Death is frightening, and so is Eternal Life. Mason Cooley"
375,La mort est la seule pure et belle conclusion d'une grande passion. D.H. Lawrence,"Death is the only pure, beautiful conclusion of a great passion. D. H. Lawrence"
376,La mort est le début de quelque chose. Edith Piaf,Death is the beginning of something. Edith Piaf
377,La mort est le dernier réveil. Douglas Horton,Death is the final wake-up call. Douglas Horton
378,La mort est une dette que nous devons tous payer. Euripide,Death is a debt we all must pay. Euripides
379,La mort est une rumeur lointaine pour les jeunes. Andrew A.Rooney,Death is a distant rumor to the young. Andrew A. Rooney
380,La mort n'est que la prochaine grande aventure de la vie. JK Rowling,Death is just life’s next big adventure. J. K. Rowling
381,"La mort, seule, rend l'espoir futile. Edgar Rice Burroughs","Death, only, renders hope futile. Edgar Rice Burroughs"
382,La nature ne fait rien inutilement. Aristote,Nature does nothing uselessly. Aristotle
383,La non-violence est l'arme du fort. -Mohandas Gandhi,Nonviolence is a weapon of the strong. -Mohandas Gandhi
384,"Là où est la peur, le bonheur n'est pas. Lucius Annaeus Sénèque","Where fear is, happiness is not. Lucius Annaeus Seneca"
385,La paix coûte cher mais elle en vaut la peine. -proverbe africain,Peace is costly but it is worth the expense. -African proverb
386,La paix est à chaque pas. Thich Nhât Hahn,Peace is every step. Thich Nhat Hahn
387,La paix est la seule bataille qui vaille la peine d'être menée. -Albert Camus,Peace is the only battle worth waging. -Albert Camus
388,La paix et la justice sont les deux faces d'une même médaille. -Dwight D.Eisenhower,Peace and justice are two sides of the same coin. -Dwight D. Eisenhower
389,La paix vient de l'intérieur. Ne le cherchez pas sans. -Bouddha,Peace comes from within. Do not seek it without. -Buddha
390,"La parole est d'argent, mais le silence est d'or","Speech is silver, but silence is golden"
391,La patience est le compagnon de la sagesse. Augustin d'Hippone,Patience is the companion of wisdom. Augustine of Hippo
392,"La pensée ne surmontera pas la peur, mais l'action le fera. W. Clément Stone",Thinking will not overcome fear but action will. W. Clement Stone
393,La persévérance échoue 19 fois et réussit la 20e. Julie Andrews,Perseverance is failing 19 times and succeeding the 20th. Julie Andrews
394,La persévérance est une vertu qui ne peut être sous-estimée. Bob Riley,Perseverance is a virtue that cannot be understated. Bob Riley
395,La persévérance garantit que les résultats sont inévitables.- Paramahansa Yogananda,Persistence guarantees that results are inevitable.- Paramahansa Yogananda
396,La persistance est au caractère de l'homme ce que le carbone est à l'acier. Colline Napoléon,Persistence is to the character of man as carbon is to steel. Napoleon Hill
397,La peur a deux significations - tout oublier et courir ou tout affronter et s'élever.,Fear has two meanings – Forget Everything And Run or Face Everything And Rise.
398,La peur de l'échec a toujours été ma meilleure motivation. Bois de Douglas,Fear of failure has always been my best motivator. Douglas Wood
399,La peur est destructrice ; l'amour est une énergie créatrice. Osho,Fear is destructive; love is a creative energy. Osho
400,La peur est stupide. Ainsi sont les regrets. Marilyn Monroe,Fear is stupid. So are regrets. Marilyn Monroe
401,La peur et le temps sont inséparables. Jiddu Krishnamurti,Fear and time are inseparable. Jiddu Krishnamurti
402,La peur n'est que temporaire. Les regrets durent pour toujours.,Fear is only temporary. Regrets last forever.
403,La peur nous pousse à vivre une vie ennuyeuse. Donald Miller,Fear tricks us into living a boring life. Donald Miller
404,La peur rend le loup plus grand qu'il n'est. proverbe allemand,Fear makes the wolf bigger than he is. German proverb
405,La pire solitude est de ne pas être à l'aise avec soi-même.- Mark Twain,The worst loneliness is not to be comfortable with yourself.- Mark Twain
406,La plupart des choses qui m'inquiètent n'arrivent jamais de toute façon. Tom Petit,Most things I worry about never happen anyway. Tom Petty
407,La plus belle chose que vous puissiez porter est la confiance. Blake Lively,The most beautiful thing you can wear is confidence. Blake Lively
408,La première étape est que vous devez dire que vous pouvez. -Will Smith,The first step is you have to say that you can. -Will Smith
409,La prière est la clé du matin et le verrou du soir. Mahatma Ghandi,Prayer is the key of the morning and the bolt of the evening. Mahatma Gandhi
410,La prière est la plus grande force de l'homme. W. Clément Stone,Prayer is man’s greatest power. W. Clement Stone
411,"La prière ne change pas Dieu, mais elle change celui qui prie. Soren Kierkegaard","Prayer does not change God, but it changes him who prays. Soren Kierkegaard"
412,"La prière, c'est être amoureux, être amoureux du tout. Osho","Prayer is to be in love, to be in love with the whole. Osho"
413,La qualité de vie est plus importante que la vie elle-même. -Alexis Carrel,The quality of life is more important than life itself. -Alexis Carrel
414,La raison du plus fort est toujours la meilleure,Might is right
415,La récompense d'un devoir est le pouvoir d'en accomplir un autre. Georges Eliot,The reward of one duty is the power to fulfill another. George Eliot
416,La richesse est la capacité de vivre pleinement la vie. Henry David Thoreau,Wealth is the ability to fully experience life. Henry David Thoreau
417,La sagesse commence dans l'émerveillement. Socrate,Wisdom begins in wonder. Socrates
418,La sagesse ne vient que par la souffrance. Eschyle,Wisdom comes only through suffering. Aeschylus
419,La sécurité est une sorte de mort. Tennessee Williams,Security is a kind of death. Tennessee Williams
420,La séparation est une si douce peine,Parting is such sweet sorrow
421,La seule chose que nous ayons à craindre est la peur elle-même.,The only thing we have to fear is fear itself.
422,La seule chose que nous ayons à craindre est la peur elle-même. Franklin D. Roosevelt,The only thing we have to fear is fear itself. Franklin D. Roosevelt
423,La seule façon d'avoir un ami est d'en être un. -Ralph Waldo Emerson,The only way to have a friend is to be one. -Ralph Waldo Emerson
424,La seule source de connaissances est l'expérience. Albert Einstein,The only source of knowledge is experience. Albert Einstein
425,La seule vérité est la musique. -Jack Kerouac,The only truth is music. -Jack Kerouac
426,La simplicité est l'âme de l'efficacité. -Austin Freeman,Simplicity is the soul of efficiency. -Austin Freeman
427,La tristesse s'envole sur les ailes du temps. -Jean de La Fontaine,Sadness flies away on the wings of time. -Jean de La Fontaine
428,La vengeance est un plat qui se mange froid,Revenge is a dish best savoured (GB) / savored (US) cold
429,La vérité est du côté des opprimés. -Malcolm X,Truth is on the side of the oppressed. -Malcolm X
430,La vérité est rarement pure et jamais simple.- Oscar Wilde,The truth is rarely pure and never simple.- Oscar Wilde
431,La vérité est une terre sans chemin.- Jiddu Krishnamurti,Truth is a pathless land.- Jiddu Krishnamurti
432,La vérité finit toujours par éclater,The truth will come out
433,"La vérité n'est pas toujours belle, ni les beaux mots la vérité. -Lao Tseu","The truth is not always beautiful, nor beautiful words the truth. -Lao Tzu"
434,La vérité n'est pas toujours bonne à dire,What be doesn't know won't hurt me ( US )
435,"La vérité n'est pas toujours la beauté, mais la soif d'elle l'est. -Nadine Gordimer","The truth isn’t always beauty, but the hunger for it is. -Nadine Gordimer"
436,La vérité vous libèrera.,The truth will set you free.
437,"La vérité vous rendra libre, mais d'abord elle vous rendra malheureux. -James A. Garfield","The truth will set you free, but first it will make you miserable. -James A. Garfield"
438,La victoire appartient aux plus persévérants. Napoléon Bonaparte,Victory belongs to the most persevering. Napoleon Bonaparte
439,La vie consiste à accepter ce qui est et à travailler à partir de cela. -Gloria Naylor,Life is accepting what is and working from that. -Gloria Naylor
440,"La vie consiste à avoir un impact, pas à générer un revenu. -Kevin Kruse","Life is about making an impact, not making an income. -Kevin Kruse"
441,La vie doit être bien plus qu'une simple résolution de problèmes. -Elon Musk,Life got to be about more than just solving problems. -Elon Musk
442,La vie en abondance ne vient que par un grand amour.- Elbert Hubbard,Life in abundance comes only through great love.- Elbert Hubbard
443,"La vie est comme l'océan, elle monte et descend. -Vanessa Paradis","Life is like the ocean, it goes up and down. -Vanessa Paradis"
444,La vie est courte et elle est là pour être vécue. - Kate Winslet,"“Life is short, and it is here to be lived.” — Kate Winslet"
445,La vie est courte et les progrès sont lents. Gabriel Lipmann,Life is short and progress is slow. Gabriel Lippmann
446,La vie est dure mais vous l'êtes.,Life is tough but so you are.
447,La vie est en grande partie une question d'attente. -Homère,Life is largely a matter of expectation. -Homer
448,"La vie est la voiture, votre cœur est la clé et Dieu est le chauffeur. - Sri Sathya Sai Baba","Life is the car, your heart is the key and God is the chauffeur. -Sri Sathya Sai Baba"
449,"La vie est soit une aventure audacieuse, soit rien. -Helen Keller",Life is either a daring adventure or nothing. -Helen Keller
450,La vie est trop courte pour les regrets. Nicolas Hoult,Life’s too short for regrets. Nicholas Hoult
451,La vie est trop important pour être pris au sérieux. -Oscar Wilde,Life is too important to be taken seriously. -Oscar Wilde
452,La vie est un jeu et le véritable amour est un trophée. -Rufus Wainwright,Life is a game and true love is a trophy. -Rufus Wainwright
453,La vie est un processus vivant de devenir. -Douglas MacArthur,Life is a lively process of becoming. -Douglas MacArthur
454,La vie est une longue leçon d'humilité. -James M. Barrie,Life is a long lesson in humility. -James M. Barrie
455,La vie est une question et comment nous la vivons est notre réponse. -Gary Keller,Life is a question and how we live it is our answer. -Gary Keller
456,"La vie est vraiment simple, mais nous insistons pour la rendre compliquée. -Confucius","Life is really simple, but we insist on making it complicated. -Confucius"
457,"La vie est vraiment une danse si vous êtes original, et vous êtes censé être original. –Osho","Life is really a dance if you are original, and you are meant to be original. –Osho"
458,"La vie ne consiste pas à obtenir et à avoir, mais à donner et à être. -Kevin Kruse","Life isn’t about getting and having, it’s about giving and being. -Kevin Kruse"
459,La vie n'est pas aussi sérieuse que l'esprit le prétend. -Eckhart Tolle,Life isn’t as serious as the mind makes it out to be. -Eckhart Tolle
460,La vie n'est pas juste; s'y habituer. -Bill Gates,Life is not fair; get used to it. -Bill Gates
461,"La vie n'est pas un problème à résoudre, mais une réalité à vivre. -Soren Kierkegaard","Life is not a problem to be solved, but a reality to be experienced. -Soren Kierkegaard"
462,La vie sans amour est comme un arbre sans fleurs ni fruits. - Khalil Gibran,Life without love is like a tree without blossoms or fruit. -Khalil Gibran
463,La vie sans examen ne vaut pas la peine d'être vécue. -Socrate,The unexamined life is not worth living. -Socrates
464,La vie se définit plus par ses risques que par ses similitudes. -Mary Anne Radmacher,Life is defined more by its risks than by its samenesses. -Mary Anne Radmacher
465,La vie se rétrécit ou s'agrandit proportionnellement à son courage. -Anaïs Nin,Life shrinks or expands in proportion to one’s courage. -Anaïs Nin
466,"La vie, c'est comme une boîte de chocolat. Vous ne savez jamais ce que vous allez obtenir.",Life is like a box of chocolates. You never know what you’re gonna get.
467,La vitesse du chef est la vitesse du gang. Mary Kay Ash,The speed of the leader is the speed of the gang. Mary Kay Ash
468,La voie du succès consiste à prendre des mesures massives et déterminées. Tony Robbin,"The path to success is to take massive, determined action. Tony Robbins"
469,La voix du sang parle toujours plus fort.,Blood is thicker than water.
470,La vraie affaire de la vie est d'essayer de se comprendre. -Gilbert Parker,The real business of life is trying to understand each other. -Gilbert Parker
471,La vraie amitié vient quand le silence entre deux personnes est confortable. -David Tyson,True friendship comes when the silence between two people is comfortable. -David Tyson
472,"L'absence aiguise l'amour, la présence le renforce. -Benjamin Franklin","Absence sharpens love, presence strengthens it. -Benjamin Franklin"
473,L'abstinence complète est plus facile que la modération parfaite. Augustin d'Hippone,Complete abstinence is easier than perfect moderation. Augustine of Hippo
474,Lâchez ce que vous ne pouvez pas contrôler. La sérénité sera vôtre.,Let loose of what you can’t control. Serenity will be yours.
475,L'action est la clé fondamentale de tout succès. Pablo Picasso,Action is the foundational key to all success. Pablo Picasso
476,L'adversité est le premier chemin vers la vérité.- Lord Byron,Adversity is the first path to truth.- Lord Byron
477,L'affirmation constante de la croyance est une indication de la peur. Jiddu Krishnamurti,The constant assertion of belief is an indication of fear. Jiddu Krishnamurti
478,Laissez la beauté de ce que vous aimez être ce que vous faites. Roumi,Let the beauty of what you love be what you do. Rumi
479,"Laissez la vie vous arriver. Croyez-moi : la vie a raison, toujours. Rainer Maria Rilke","Let life happen to you. Believe me: life is in the right, always. Rainer Maria Rilke"
480,"Laissez votre sourire changer le monde, mais ne laissez pas le monde changer votre sourire.","Let your smile change the world, but don’t let the world change your smile."
481,L'âme humaine a plus besoin de beauté réelle que de pain. -RÉ. H. Laurent,The human soul needs actual beauty more than bread. -D. H. Lawrence
482,L'amitié profite toujours; l'amour blesse parfois.- Sénèque,Friendship always benefits; love sometimes injures.- Seneca
483,L'amour de l'argent est la racine de tous les maux.,The love of money is the root of all evil.
484,L'amour économisé n'est jamais un véritable amour. -Honoré de Balzac,Economized love is never real love. -Honore De Balzac
485,L'amour est aveugle,Love is blind
486,L'amour est aveugle; l'amitié ferme les yeux. -Friedrich Nietzsche,Love is blind; friendship closes its eyes. -Friedrich Nietzsche
487,L'amour est la fleur qu'il faut laisser pousser. -John Lennon,Love is the flower you’ve got to let grow. -John Lennon
488,L'amour est l'absence de jugement. -Dalaï Lama,Love is the absence of judgment. -Dalai Lama
489,L'amour est trop jeune pour savoir ce qu'est la conscience. William Shakespeare,Love is too young to know what conscience is. William Shakespeare
490,L'amour est un meilleur professeur que le devoir. Albert Einstein,Love is a better teacher than duty. Albert Einstein
491,L'amour est une chose pleine de soucis et de peurs.- Ovide,Love is a thing that is full of cares and fears.- Ovid
492,L'amour force toutes les serrures,Love laughs at locksmiths
493,"L'amour intense ne mesure pas, il donne juste. -Mère Teresa","Intense love does not measure, it just gives. -Mother Teresa"
494,L'amour ne domine pas; il cultive. -Johann Wolfgang von Goethe,Love does not dominate; it cultivates. -Johann Wolfgang von Goethe
495,"L'amour ne revendique pas la possession, mais donne la liberté. -Rabindranath Tagore","Love does not claim possession, but gives freedom. -Rabindranath Tagore"
496,L'amour personnel est un amour universel concentré.- Maharishi Mahesh Yogi,Personal love is concentrated universal love.- Maharishi Mahesh Yogi
497,L'anxiété est le vertige de la liberté. Soren Kierkegaard,Anxiety is the dizziness of freedom. Soren Kierkegaard
498,L'apprentissage le plus nécessaire est celui qui désapprend le mal. Antisthènes,The most necessary learning is that which unlearns evil. Antisthenes
499,L'argent est le nerf de la guerre,Money is the sinews of war
500,L'argent fait la loi,Money talks
501,L'argent mène le monde,Money rules the world
502,L'argent n'a pas d'odeur,Money has no smell
503,L'argent ne fait pas le bonheur.,Money can't buy happiness
504,L'argent ne pousse pas sur les arbres,Money doesn't grow on trees
505,L'argent va à l'argent,Money goes to money
506,L'art de l'amour est en grande partie l'art de la persévérance. - Albert Ellis,The art of love is largely the art of persistence. -Albert Ellis
507,L'art d'écrire est l'art de découvrir ce que vous croyez. Gustave Flaubert,The art of writing is the art of discovering what you believe. Gustave Flaubert
508,L'art est le mensonge qui nous permet de réaliser la vérité. -Pablo Picasso,Art is the lie that enables us to realize the truth. -Pablo Picasso
509,L'attitude est une petite chose qui fait une grande différence. Winston Churchill,Attitude is a little thing that makes a big difference. Winston Churchill
510,L'attitude fait tout. Charles Swindoll,Attitude is everything. Charles Swindoll
511,L'audace soit mon amie. -William Shakespeare,Boldness be my friend. -William Shakespeare
512,"L'avare, comme le chien de cuisine, tourne la broche pour autrui.","The covetous man, like a dog in a wheel, Roast meat for others."
513,L'avenir appartient à ceux qui croient en la beauté de leurs rêves. -Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams. -Eleanor Roosevelt
514,"L'avenir appartient à ceux qui se lèvent tôt = heure du matin, heure du gain",The early bird catches the worm
515,L'aventure n'est pas hors de l'homme ; c'est à l'intérieur. -Georges Eliot,Adventure is not outside man; it is within. -George Eliot
516,Le besoin de moins se traduit souvent par une vie de plus. –Brian Gardner,The need for less often result in a life of more. –Brian Gardner
517,Le bon marché détrousse le passant.,A good bargain is a pick-purse.
518,Le bonheur dépend de nous. -Aristote,Happiness depends upon us. -Aristotle
519,Le bonheur des uns fait le malheur des autres.,One man's meat is another man's poison
520,Le bonheur ne peut exister que dans l'acceptation. -George Orwell,Happiness can exist only in acceptance. -George Orwell
521,Le but d'un écrivain est d'empêcher la civilisation de se détruire. Albert Camus,The purpose of a writer is to keep civilization from destroying itself. Albert Camus
522,Le caractère est simplement une habitude qui dure depuis longtemps. -Plutarque,Character is simply habit long continued. -Plutarch
523,Le changement est le résultat final de tout véritable apprentissage. Léo Buscaglia,Change is the end result of all true learning. Leo Buscaglia
524,Le changement n'est pas simplement nécessaire à la vie - c'est la vie. Alvin Töffler,Change is not merely necessary to life – it is life. Alvin Toffler
525,Le courage est comme un muscle ; il est renforcé par l'usage. Ruth Gordon,Courage is like a muscle; it is strengthened by use. Ruth Gordon
526,Le courage est un moyen par rapport à la peur et à la confiance. Aristote,Courage is a mean with regard to fear and confidence. Aristotle
527,Le courage ne rugit pas toujours. Marie-Anne Radmacher,Courage doesn’t always roar. Mary Anne Radmacher
528,Le début est la partie la plus importante du travail. Platon,The beginning is the most important part of the work. Plato
529,"Le deuil ne vous change pas, il vous révèle. Jean Vert","Grief does not change you, it reveals you. John Green"
530,Le doute est à l'origine de la sagesse. Augustin d'Hippone,Doubt is the origin of wisdom. Augustine of Hippo
531,Le doute grandit avec la connaissance. Johann Wolfgang von Goethe,Doubt grows with knowledge. Johann Wolfgang von Goethe
532,Le faible ne peut jamais pardonner. Le pardon est l'apanage du fort. Mahatma Ghandi,The weak can never forgive. Forgiveness is the attribute of the strong. Mahatma Gandhi
533,"Le feu et l'eau sont bons serviteurs, mais mauvais maîtres.","Fire and water are good servants, But bad masters."
534,Le feu intérieur est la chose la plus importante que possède l'humanité. Edith Södergran,The inner fire is the most important thing mankind possesses. Edith Södergran
